x,y,zone
-0.05278832035449729,-0.10238019177206785,D
-0.04334363704142796,-0.10238019177206785,D
0.09832661265461198,-0.10238019177206785,D
-0.05278832035449729,-0.09293550845899852,D
0.10777129596768131,-0.09293550845899852,D
0.12666066259381997,-0.09293550845899852,D
0.09832661265461198,-0.08349082514592919,D
0.10777129596768131,-0.08349082514592919,D
0.11721597928075064,-0.08349082514592919,D
0.12666066259381997,-0.08349082514592919,D
0.09832661265461198,-0.07404614183285986,D
0.11721597928075064,-0.07404614183285986,D
0.12666066259381997,-0.07404614183285986,D
0.10777129596768131,-0.06460145851979053,D
-0.06223300366756662,-0.0551567752067212,D
-0.05278832035449729,-0.0551567752067212,D
-0.04334363704142796,-0.0551567752067212,D
0.12666066259381997,-0.0551567752067212,D
-0.04334363704142796,-0.04571209189365187,D
0.08888192934154265,-0.04571209189365187,D
0.09832661265461198,-0.04571209189365187,D
-0.06223300366756662,-0.03626740858058254,D
-0.04334363704142796,-0.03626740858058254,D
-0.03389895372835863,-0.03626740858058254,D
0.11721597928075064,-0.03626740858058254,D
-0.03389895372835863,-0.02682272526751321,D
-0.024454270415289303,-0.02682272526751321,D
0.069992562715404,-0.02682272526751321,D
0.07943724602847332,-0.02682272526751321,D
0.10777129596768131,-0.02682272526751321,D
0.051103196089265335,-0.017378041954443882,D
0.060547879402334664,-0.017378041954443882,D
-0.03389895372835863,-0.007933358641374554,D
-0.024454270415289303,-0.007933358641374554,D
-0.015009587102219975,-0.007933358641374554,D
-0.005564903789150645,-0.007933358641374554,D
0.013324462836988014,-0.007933358641374554,D
0.022769146150057346,-0.007933358641374554,D
0.032213829463126675,-0.007933358641374554,D
-0.015009587102219975,0.0015113246716947758,D
-0.005564903789150645,0.0015113246716947758,D
0.0038797795239186843,0.0015113246716947758,D
0.013324462836988014,0.0015113246716947758,D
0.08888192934154265,0.0015113246716947758,D
0.0038797795239186843,0.010956007984764106,D
0.022769146150057346,0.020400691297833437,D
-0.005564903789150645,-0.18738234158969183,E
0.013324462836988014,-0.18738234158969183,E
0.032213829463126675,-0.18738234158969183,E
0.041658512776196005,-0.18738234158969183,E
-0.03389895372835863,-0.1779376582766225,E
0.060547879402334664,-0.1779376582766225,E
-0.04334363704142796,-0.16849297496355317,E
0.07943724602847332,-0.16849297496355317,E
0.09832661265461198,-0.15904829165048384,E
0.10777129596768131,-0.1496036083374145,E
0.11721597928075064,-0.1496036083374145,E
-0.07167768698063595,-0.13071424171127585,E
0.12666066259381997,-0.13071424171127585,E
-0.07167768698063595,-0.12126955839820651,E
0.013324462836988014,-0.12126955839820651,E
0.032213829463126675,-0.12126955839820651,E
0.051103196089265335,-0.12126955839820651,E
0.060547879402334664,-0.12126955839820651,E
0.069992562715404,-0.12126955839820651,E
0.12666066259381997,-0.12126955839820651,E
-0.07167768698063595,-0.11182487508513718,E
-0.015009587102219975,-0.11182487508513718,E
-0.005564903789150645,-0.11182487508513718,E
0.0038797795239186843,-0.11182487508513718,E
0.022769146150057346,-0.11182487508513718,E
0.032213829463126675,-0.11182487508513718,E
0.041658512776196005,-0.11182487508513718,E
0.051103196089265335,-0.11182487508513718,E
0.069992562715404,-0.11182487508513718,E
-0.07167768698063595,-0.10238019177206785,E
-0.024454270415289303,-0.10238019177206785,E
